Brand,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Ssangyong,Rexton,Sutherland Isuzu Ute,2022 Ssangyong Rexton Ultimate (awd),DEMO,Automatic,"4 cyl, 2.2 L",AWD,Diesel,8.7 L / 100 km,5595,"Caringbah, NSW",4 cyl,SUV, 4 Doors, 7 Seats,51990
MG,MG3,Hatchback,2022 MG MG3 Auto Excite (with Navigation),USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,16,"Brookvale, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19990
BMW,430I,Coupe,2022 BMW 430I M Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.6 L / 100 km,8472,"Sylvania, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,108988
Mercedes-Benz,E500,Coupe,2011 Mercedes-Benz E500 Elegance,USED,Automatic,"8 cyl, 5.5 L",Rear,Premium,11 L / 100 km,136517,"Mount Druitt, NSW",8 cyl,Coupe, 2 Doors, 4 Seats,32990
Renault,Arkana,SUV,2022 Renault Arkana Intens,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6 L / 100 km,1035,"Castle Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,34990
Toyota,Estima,ON FOUR WHEELS,2004 Toyota Estima T EDITION,USED,Automatic,-,Other,Unleaded,-,160230,"Saint Marys, NSW",-,Commercial,,,9990
Land,Rover,SUV,2017 Land Rover Range Rover Evoque TD4 180 HSE Dynamic,USED,Automatic,"4 cyl, 2 L",AWD,Diesel,5.1 L / 100 km,67662,"Blacktown, NSW",4 cyl,SUV, 2 Doors, 4 Seats,62280
Nissan,Pulsar,Hatchback,2000 Nissan Pulsar LX,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,8 L / 100 km,300539,"Wentworthville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,2995
Toyota,86,Coupe,2013 Toyota 86 GT,USED,Automatic,"4 cyl, 2 L",Rear,Premium,7.1 L / 100 km,82012,"Mcgraths Hill, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,24888
Honda,Jazz,Hatchback,2014 Honda Jazz Hybrid,USED,Automatic,"4 cyl, 1.3 L",Front,Hybrid,4.5 L / 100 km,38229,"Lidcombe, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,17900
Toyota,HiAce,Carbarn,2009 Toyota HiAce (No Badge),USED,Automatic,-,Other,Unleaded,-,148190,"Lidcombe, NSW",-,Commercial,,,42500
Toyota,HiAce,Commercial,2018 Toyota HiAce LWB,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,9.8 L / 100 km,16324,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 2 Seats,41999
Honda,City,USED Dealer ad,2015 Honda City GM VTi-L Sedan 4dr CVT 7sp 1.5i MY16,USED,Automatic,-,Other,Unleaded,-,181745,"Rouse Hill, NSW",-,,,,11999
Toyota,HiAce,USED Dealer ad,2017 Toyota HiAce,USED,Automatic,-,Other,-,-,136296,"Lidcombe, NSW",-,,,,38999
Toyota,HiAce,Commercial,2016 Toyota HiAce LWB,USED,Automatic,"4 cyl, 3 L",Rear,Diesel,8 L / 100 km,229829,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 2 Seats,27995
Volkswagen,Golf,Hatchback,2012 Volkswagen Golf 90 TSI Trendline,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6.2 L / 100 km,55676,"Five Dock, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,14999
BMW,X3,SUV,2014 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6 L / 100 km,82624,"Haberfield, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24985
Mitsubishi,Outlander,Exclusive Autohaus,2013 Mitsubishi Outlander ES,USED,Manual,-,Other,-,-,120020,"Blacktown, NSW",-,Wagon,,,13999
BMW,118D,Hatchback,2011 BMW 118D,USED,Automatic,"4 cyl, 2 L",Rear,Diesel,5.4 L / 100 km,95204,"Five Dock, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,13999
Ford,Fiesta,Hatchback,2014 Ford Fiesta Sport,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4 L / 100 km,76289,"Cabramatta, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,12400
Mitsubishi,Outlander,SUV,2012 Mitsubishi Outlander LS (4X4),USED,Automatic,"4 cyl, 2.4 L",AWD,Unleaded,7.5 L / 100 km,219681,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 7 Seats,13999
Ford,Fiesta,Hatchback,2013 Ford Fiesta Zetec,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.1 L / 100 km,98079,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,11999
Volkswagen,Amarok,Alto Volkswagen New Cars,2023 Volkswagen Amarok Style TDI600 4Motion,NEW,Automatic,"6 cyl, 3 L",AWD,Diesel,8.4 L / 100 km,15,"Blacktown, NSW",6 cyl,Ute / Tray, 4 Doors, 5 Seats,83887
Honda,Jazz,Hatchback,2018 Honda Jazz VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,5.8 L / 100 km,43274,"Castle Hill, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19900
Subaru,Outback,SUV,2012 Subaru Outback 2.5I,USED,Automatic,"4 cyl, 2.5 L",AWD,Premium,8.4 L / 100 km,105672,"Glebe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,17990
Mitsubishi,Mirage,Hatchback,2018 Mitsubishi Mirage ES,USED,Automatic,"3 cyl, 1.2 L",Front,Unleaded,4.7 L / 100 km,36836,"Camden, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,14995
Toyota,Camry,Sedan,2005 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,9.8 L / 100 km,115821,"Lansvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,8499
BMW,3,USED Dealer ad,2013 BMW 3 Series 28i,USED,Automatic,-,Other,Unleaded,-,143119,"Rouse Hill, NSW",-,,,,21999
Hyundai,I45,Sedan,2011 Hyundai I45 Active,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9 L / 100 km,189711,"Croydon, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,12990
Ford,Territory,SUV,2015 Ford Territory TS (rwd),USED,Automatic,"6 cyl, 2.7 L",Rear,Diesel,8.2 L / 100 km,173786,"Blacktown, NSW",6 cyl,SUV, 4 Doors, 7 Seats,16999
Nissan,Qashqai,SUV,2018 Nissan Qashqai ST,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,114301,"Pendle Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,21950
Volkswagen,Golf,Hatchback,2013 Volkswagen Golf GTI,USED,Manual,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,69197,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,24880
Volkswagen,T-Cross,NEW In stock,2023 Volkswagen T-Cross 85TSI DSG FWD Life,NEW,Automatic,-,Front,Premium,-,15,"Blacktown, NSW",-,Wagon,,,35887
Hyundai,Tucson,SUV,2015 Hyundai Tucson Active (fwd),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,94377,"Mcgraths Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,23888
Ford,Focus,Hatchback,2016 Ford Focus Trend,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.2 L / 100 km,94965,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,16999
Nissan,X-Trail,SUV,2019 Nissan X-Trail ST 7 Seat (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,8.1 L / 100 km,99294,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 7 Seats,24490
Toyota,Corolla,Hatchback,2021 Toyota Corolla ZR Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.2 L / 100 km,13694,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,44878
Toyota,Yaris,Sedan,2007 Toyota Yaris YRS,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.7 L / 100 km,264691,"Lansvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,7949
Jeep,Grand,Mr Car,2012 Jeep Grand Cherokee WK Laredo Wagon 4dr Spts Auto 5sp 4x4 3.6i,USED,Automatic,-,Other,Unleaded,-,224839,"Rouse Hill, NSW",-,Wagon,,,13999
Toyota,Corolla,Hatchback,2010 Toyota Corolla Conquest,USED,Manual,"4 cyl, 1.8 L",Front,Unleaded,7.7 L / 100 km,238270,"Smithfield, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,8800
Toyota,HiAce,Nippon Motors,2009 Toyota HiAce (No Badge),USED,Automatic,-,Rear,Unleaded,-,76259,"Ingleburn, NSW",-,Commercial,,,32900
Jeep,Patriot,SUV,2015 Jeep Patriot Limited (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.1 L / 100 km,140964,"Seven Hills, NSW",4 cyl,SUV, 4 Doors, 5 Seats,13990
Toyota,HiAce,Commercial,2003 Toyota HiAce,USED,Automatic,"4 cyl, 2.4 L",Rear,Unleaded,0 L / 100 km,266848,"Five Dock, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,9999
Volvo,S60,Sedan,2013 Volvo S60 T4 Teknik,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.4 L / 100 km,141000,"Blacktown, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,14999
Mitsubishi,Triton,Ute / Tray,2016 Mitsubishi Triton GLX Plus (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Diesel,7.6 L / 100 km,240402,"Haberfield, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,22750
Mercedes-Benz,E250,Coupe,2010 Mercedes-Benz E250 CGI Elegance,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,7.9 L / 100 km,101126,"Glebe, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,21950
Mercedes-Benz,A250,Hatchback,2013 Mercedes-Benz A250 Sport,USED,Automatic,"4 cyl, 2 L",Front,Premium,6.6 L / 100 km,117254,"Five Dock, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,19999
Toyota,86,Coupe,2012 Toyota 86 GT,USED,Manual,"4 cyl, 2 L",Rear,Premium,7.8 L / 100 km,178747,"Granville, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,19900
Mazda,CX-5,SUV,2022 Mazda CX-5 Maxx Sport (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.5 L / 100 km,10579,"Five Dock, NSW",4 cyl,SUV, 4 Doors, 5 Seats,37990
Toyota,Corolla,Hatchback,2010 Toyota Corolla Ascent,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.7 L / 100 km,167101,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,12990
Ford,Falcon,Sedan,2013 Ford Falcon XR6,USED,Automatic,"6 cyl, 4 L",Rear,Unleaded,9.9 L / 100 km,163161,"Blacktown, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,16999
Abarth,595,Hatchback,2021 Abarth 595 Competizione,USED,Manual,"4 cyl, 1.4 L",Front,Premium,6 L / 100 km,13200,"Ryde, NSW",4 cyl,Hatchback, 3 Doors, 4 Seats,36990
Honda,CR-V,SUV,2014 Honda CR-V VTI-L (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,8.7 L / 100 km,103211,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,23880
Toyota,Corolla,Sedan,2007 Toyota Corolla Ultima,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,7.4 L / 100 km,177751,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,10990
Toyota,HiAce,People Mover,2016 Toyota HiAce Commuter,USED,Automatic,"4 cyl, 2.7 L",Rear,Unleaded,10.9 L / 100 km,119614,"Ingleburn, NSW",4 cyl,People Mover, 3 Doors, 14 Seats,44900
Hyundai,I30,Hatchback,2012 Hyundai I30 Active,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.9 L / 100 km,125546,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,15880
Mazda,6,Sedan,2013 Mazda 6 Touring,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,163000,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,16995
Toyota,Kluger,SUV,2008 Toyota Kluger KX-S (fwd),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,11 L / 100 km,132864,"Blacktown, NSW",6 cyl,SUV, 4 Doors, 7 Seats,19880
Hyundai,Santa,SUV,2018 Hyundai Santa FE Highlander Crdi (4X4),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.8 L / 100 km,71655,"Homebush, NSW",4 cyl,SUV, 4 Doors, 7 Seats,43999
BMW,X3,SUV,2012 BMW X3 Xdrive 20D,USED,Automatic,"4 cyl, 2 L",4WD,Diesel,5.6 L / 100 km,109459,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,18888
Holden,Cascada,Convertible,2016 Holden Cascada,USED,Automatic,"4 cyl, 1.6 L",Front,Premium,7.5 L / 100 km,65361,"Minchinbury, NSW",4 cyl,Convertible, 2 Doors, 4 Seats,24995
Mercedes-Benz,ML320,SUV,2006 Mercedes-Benz ML320 CDI Luxury (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,9.6 L / 100 km,212953,"Five Dock, NSW",6 cyl,SUV, 4 Doors, 5 Seats,9998
Mitsubishi,Lancer,Sedan,2009 Mitsubishi Lancer ES,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,163012,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,9990
Audi,A5,Coupe,2014 Audi A5 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.7 L / 100 km,82119,"Blacktown, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,27380
Kia,RIO,Hatchback,2018 Kia RIO GT-Line,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,5.4 L / 100 km,42071,"Homebush, NSW",3 cyl,Hatchback, 5 Doors, 5 Seats,24999
Jeep,Cherokee,SUV,2015 Jeep Cherokee Longitude (4X4),USED,Automatic,"6 cyl, 3.2 L",4WD,Unleaded,10 L / 100 km,85958,"Elderslie, NSW",6 cyl,SUV, 4 Doors, 5 Seats,17999
Volkswagen,Tiguan,SUV,2011 Volkswagen Tiguan 132 TSI (4X4),USED,Automatic,"4 cyl, 2 L",AWD,Premium,8.8 L / 100 km,118642,"Lidcombe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,12990
Mitsubishi,ASX,SUV,2012 Mitsubishi ASX (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.9 L / 100 km,187265,"Campbelltown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,13990
BMW,220I,Convertible,2016 BMW 220I M-Sport,USED,Automatic,"4 cyl, 2 L",Rear,Premium,6.4 L / 100 km,118120,"Caringbah, NSW",4 cyl,Convertible, 2 Doors, 4 Seats,28990
Hyundai,Tucson,SUV,2022 Hyundai Tucson (FWD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.1 L / 100 km,19978,"Smithfield, NSW",4 cyl,SUV, 4 Doors, 5 Seats,36800
Mazda,3,Sedan,2011 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,86804,"Lansvale, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,13999
Volkswagen,Tiguan,Alto Volkswagen New Cars,2023 Volkswagen Tiguan Allspace 132TSI Life,NEW,Automatic,"4 cyl, 2 L",AWD,Premium,8.9 L / 100 km,15,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 7 Seats,56887
Hyundai,Imax,Wagon,2014 Hyundai Imax,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,9 L / 100 km,183550,"Bankstown, NSW",4 cyl,Wagon, 4 Doors, 8 Seats,19888
Toyota,Yaris,Hatchback,2014 Toyota Yaris YR,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.3 L / 100 km,191748,"Bankstown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,8995
Toyota,Kluger,SUV,2016 Toyota Kluger Grande (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.4 L / 100 km,139637,"Five Dock, NSW",6 cyl,SUV, 4 Doors, 7 Seats,31900
Mitsubishi,Lancer,Sedan,2013 Mitsubishi Lancer LX,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,165306,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,14995
Subaru,XV,SUV,2016 Subaru XV 2.0I-L,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.1 L / 100 km,104887,"North Narrabeen, NSW",4 cyl,SUV, 4 Doors, 5 Seats,22990
Mini,Cooper,Hatchback,2017 Mini Cooper S 5D Hatch,USED,Automatic,"4 cyl, 2 L",Front,Premium,5.5 L / 100 km,72501,"Blacktown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,31990
Peugeot,308,Mr Car,2015 Peugeot 308 T9 Allure Touring 5dr Spts Auto 6sp 2.0DT,USED,Automatic,-,Other,Unleaded,-,167127,"Rouse Hill, NSW",-,Hatchback,,,12999
Holden,Commodore,Ute / Tray,2010 Holden Commodore SS-V,USED,Manual,"8 cyl, 6 L",Rear,Unleaded,14.5 L / 100 km,169220,"Blacktown, NSW",8 cyl,Ute / Tray, 2 Doors, 2 Seats,25999
Hyundai,I20,Hatchback,2015 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,5.9 L / 100 km,111783,"Croydon, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,13990
Mazda,BT-50,Ute / Tray,2018 Mazda BT-50 XTR (4X2),USED,Automatic,"5 cyl, 3.2 L",Rear,Diesel,9.3 L / 100 km,97460,"Haberfield, NSW",5 cyl,Ute / Tray, 4 Doors, 5 Seats,30990
Mazda,3,Sedan,2009 Mazda 3 Maxx,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,178389,"Chester Hill, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,8499
Hyundai,I20,Hatchback,2011 Hyundai I20 Active,USED,Automatic,"4 cyl, 1.4 L",Front,Unleaded,6.4 L / 100 km,188262,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10995
Honda,Vezel,Top Auto Group,2015 Honda Vezel Hybrid Z,USED,Automatic,-,Other,Unleaded,-,71059,"Blacktown, NSW",-,Wagon,,,24888
Mazda,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,11.5 L / 100 km,152831,"Liverpool, NSW",4 cyl,SUV, 4 Doors, 5 Seats,11669
Jeep,Renegade,SUV,2017 Jeep Renegade Limited,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,5.9 L / 100 km,69218,"Glebe, NSW",4 cyl,SUV, 4 Doors, 5 Seats,24950
Mazda,6,Sedan,2013 Mazda 6 Sport,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,124093,"West Ryde, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,16990
Nissan,Elgrand,Sydney City Traders,2009 Nissan Elgrand Highway Star,USED,Automatic,-,Rear,Unleaded,-,103090,"Five Dock, NSW",-,Wagon,,,19995
Kia,Grand,Wagon,2013 Kia Grand Carnival SLI,USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,10.9 L / 100 km,98672,"Minchinbury, NSW",6 cyl,Wagon, 4 Doors, 8 Seats,13995
Mitsubishi,Lancer,Sedan,2015 Mitsubishi Lancer ES Sport,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.2 L / 100 km,61481,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,17995
Subaru,Impreza,Hatchback,2018 Subaru Impreza 2.0I (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.6 L / 100 km,61177,"Seven Hills, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,22990
Mazda,3,Hatchback,2014 Mazda 3 NEO,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,8.2 L / 100 km,132648,"Granville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,16999
BMW,X4,SUV,2021 BMW X4 Xdrive20I M Sport,USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,7.3 L / 100 km,31367,"Sylvania, NSW",4 cyl,SUV, 5 Doors, 5 Seats,79988
Mazda,CX-7,SUV,2010 Mazda CX-7 Luxury Sports (4X4),USED,Automatic,"4 cyl, 2.3 L",AWD,Unleaded,11.5 L / 100 km,174818,"Kirrawee, NSW",4 cyl,SUV, 4 Doors, 5 Seats,12800
Audi,A5,Coupe,2015 Audi A5 2.0 Tfsi Quattro,USED,Automatic,"4 cyl, 2 L",AWD,Premium,6.7 L / 100 km,115334,"Blacktown, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,26880
BMW,118I,Hatchback,2014 BMW 118I,USED,Automatic,"4 cyl, 1.6 L",Rear,Premium,5.8 L / 100 km,57000,"Cabramatta, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,16990
Mercedes-Benz,C-CLASS,USED Dealer ad,2012 Mercedes-Benz C-CLASS W204 BlueEFFICIENCY Avantgarde Sedan 4dr 7G-TRONIC 7sp 1.8T,USED,Automatic,-,Other,Unleaded,-,162775,"Rouse Hill, NSW",-,,,,16999
Toyota,HiAce,Nippon Motors,2013 Toyota HiAce DX,USED,Automatic,-,Other,Diesel,-,191173,"Ingleburn, NSW",-,Commercial,,,30900
Subaru,Impreza,USED Dealer ad,2007 Subaru Impreza WRX STI,USED,Manual,-,Other,Unleaded,-,146077,"Smeaton Grange, NSW",-,,,,34888
Audi,Q7,SUV,2014 Audi Q7 4.2 TDI Quattro,USED,Automatic,"8 cyl, 4.1 L",AWD,Diesel,9.2 L / 100 km,199941,"Five Dock, NSW",8 cyl,SUV, 4 Doors, 7 Seats,28999
Suzuki,Celerio,Hatchback,2015 Suzuki Celerio,USED,Automatic,"3 cyl, 1 L",Front,Unleaded,4.8 L / 100 km,23316,"Blacktown, NSW",3 cyl,Hatchback, 5 Doors, 4 Seats,13880
Subaru,Liberty,Sedan,2016 Subaru Liberty 3.6R,USED,Automatic,"6 cyl, 3.6 L",AWD,Premium,9.9 L / 100 km,226127,"Minto, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,17950
Toyota,C-HR,SUV,2019 Toyota C-HR (2WD),USED,Manual,"4 cyl, 1.2 L",Front,Premium,5.4 L / 100 km,58185,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 5 Seats,33888
Subaru,Forester,SUV,2021 Subaru Forester 2.5I (awd),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,7.4 L / 100 km,16136,"Windsor, NSW",4 cyl,SUV, 4 Doors, 5 Seats,39990
Mazda,CX-3,SUV,2015 Mazda CX-3 S Touring (awd),USED,Automatic,"4 cyl, 2 L",AWD,Unleaded,6.7 L / 100 km,31531,"Penrith, NSW",4 cyl,SUV, 4 Doors, 5 Seats,23950
Jeep,Grand,SUV,2018 Jeep Grand Cherokee Limited (4X4),USED,Automatic,"6 cyl, 3 L",4WD,Diesel,7.5 L / 100 km,76472,"Glebe, NSW",6 cyl,SUV, 4 Doors, 5 Seats,41950
Hyundai,I30,Hatchback,2018 Hyundai I30 Active,USED,Automatic,"4 cyl, 2 L",Front,Unleaded,7.4 L / 100 km,62719,"Homebush, NSW",4 cyl,Hatchback, 4 Doors, 5 Seats,21999
Nissan,X-Trail,SUV,2020 Nissan X-Trail ST (2WD),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,52035,"Windsor, NSW",4 cyl,SUV, 4 Doors, 5 Seats,27990
Honda,City,Sedan,2010 Honda City VTI,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,6.6 L / 100 km,146445,"Kogarah, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,8950
Honda,CR-V,SUV,2020 Honda CR-V VTI-L7 (2WD),USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.3 L / 100 km,35214,"Blacktown, NSW",4 cyl,SUV, 4 Doors, 7 Seats,37880
Holden,Cruze,Hatchback,2014 Holden Cruze SRI,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,7.4 L / 100 km,163000,"South Windsor, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,7950
Jeep,Grand,SUV,2013 Jeep Grand Cherokee Laredo (4X2),USED,Automatic,"6 cyl, 3.6 L",Rear,Premium,10.1 L / 100 km,69001,"Artarmon, NSW",6 cyl,SUV, 4 Doors, 5 Seats,24990
Toyota,RAV4,SUV,2007 Toyota RAV4 Cruiser L (4X4),USED,Automatic,"4 cyl, 2.4 L",4WD,Unleaded,9.6 L / 100 km,106718,"Lansvale, NSW",4 cyl,SUV, 4 Doors, 5 Seats,14999
Holden,Commodore,Sedan,2016 Holden Commodore Evoke,USED,Automatic,"6 cyl, 3 L",Rear,Unleaded,8.3 L / 100 km,59689,"Blacktown, NSW",6 cyl,Sedan, 4 Doors, 5 Seats,22999
Mercedes-Benz,CLC200,Coupe,2010 Mercedes-Benz CLC200 Kompressor Evolution +,USED,Automatic,"4 cyl, 1.8 L",Rear,Premium,9 L / 100 km,177834,"Five Dock, NSW",4 cyl,Coupe, 2 Doors, 4 Seats,7999
Dodge,Journey,Mr Car,2012 Dodge Journey JC SXT Wagon 4dr Auto 6sp 3.6i 7 St SUV,USED,Automatic,-,Other,Unleaded,-,147589,"Rouse Hill, NSW",-,Wagon,,,10999
Mazda,6,Sedan,2013 Mazda 6 Atenza,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,105767,"Homebush, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,19999
Volkswagen,Caddy,Commercial,2018 Volkswagen Caddy Maxi VAN TSI220,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6 L / 100 km,87293,"Blacktown, NSW",4 cyl,Commercial, 3 Doors, 2 Seats,30999
Honda,Civic,Sedan,2013 Honda Civic VTI-L,USED,Automatic,"4 cyl, 1.8 L",Front,Unleaded,6.7 L / 100 km,154347,"Minchinbury, NSW",4 cyl,Sedan, 4 Doors, 5 Seats,15990
Jeep,Compass,SUV,2021 Jeep Compass Launch Edition,USED,Automatic,"4 cyl, 2.4 L",Front,Unleaded,7.9 L / 100 km,20827,"Ryde, NSW",4 cyl,SUV, 4 Doors, 5 Seats,32888
Toyota,HiAce,Nippon Motors,2008 Toyota HiAce Commuter GL Grand Cabin,USED,Automatic,-,Other,Unleaded,-,112980,"Ingleburn, NSW",-,Commercial,,,31900
Mazda,CX-9,Exclusive Autohaus,2014 Mazda CX-9 Classic,USED,Automatic,-,Other,-,-,97745,"Blacktown, NSW",-,Wagon,,,22999
Toyota,Yaris,Hatchback,2010 Toyota Yaris YR,USED,Automatic,"4 cyl, 1.3 L",Front,Unleaded,6.5 L / 100 km,147626,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10995
