Brand,Model,Car/Suv,Title,UsedOrNew,Transmission,Engine,DriveType,FuelType,FuelConsumption,Kilometres,Location,CylindersinEngine,BodyType,Doors,Seats,Price
Toyota,Kluger,SUV,2018 Toyota Kluger GXL (4X2),USED,Automatic,"6 cyl, 3.5 L",Front,Unleaded,9.1 L / 100 km,79734,"Tuggerah, NSW",6 cyl,SUV, 4 Doors, 7 Seats,42990
Nissan,Pathfinder,Wollongong Mazda,2018 Nissan Pathfinder ST-L X-tronic 4WD,USED,Automatic,-,Other,Unleaded,-,80798,"Wollongong, NSW",-,Wagon,,,36990
Mazda,CX-30,SUV,2021 Mazda CX-30 G25 Astina (fwd),USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,6.6 L / 100 km,24014,"McDougalls Hill, NSW",4 cyl,SUV, 4 Doors, 5 Seats,37990
Toyota,Kluger,SUV,2021 Toyota Kluger GXL Hybrid AWD,USED,Automatic,"4 cyl, 2.5 L",AWD,Hybrid,5.6 L / 100 km,62178,"Albion Park Rail, NSW",4 cyl,SUV, 5 Doors, 7 Seats,64490
Hyundai,Santa,SUV,2018 Hyundai Santa FE Active Crdi (awd),USED,Automatic,"4 cyl, 2.2 L",AWD,Diesel,7.5 L / 100 km,116019,"Cheltenham, SA",4 cyl,SUV, 4 Doors, 7 Seats,31990
MG,MG3,Hatchback,2021 MG MG3 Auto Core,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.7 L / 100 km,33955,"Smithfield, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,14800
Holden,Trailblazer,SUV,2017 Holden Trailblazer LT (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.6 L / 100 km,168096,"Singleton, NSW",4 cyl,SUV, 4 Doors, 7 Seats,33888
Land,Rover,SUV,2020 Land Rover Range Rover Sport DI6 HSE Mhev (221KW),USED,Automatic,"6 cyl, 3 L",AWD,Hybrid,8 L / 100 km,42012,"Wollongong, NSW",6 cyl,SUV, 5 Doors, 5 Seats,138000
Toyota,Camry,Sedan,2016 Toyota Camry Altise,USED,Automatic,"4 cyl, 2.5 L",Front,Unleaded,7.9 L / 100 km,98122,"Morphett Vale, SA",4 cyl,Sedan, 4 Doors, 5 Seats,20980
Volkswagen,Caddy,Commercial,2017 Volkswagen Caddy SWB TSI220,USED,Automatic,"4 cyl, 1.4 L",Front,Premium,6 L / 100 km,105841,"Cardiff, NSW",4 cyl,Commercial, 3 Doors, 2 Seats,26913
Land,Rover,Saap Auto,2020 Land Rover Range Rover Autobiography,USED,Automatic,-,Other,Diesel,-,27742,"Glebe, NSW",-,Wagon,,,229990
Kia,Carnival,Wagon,2017 Kia Carnival Platinum,USED,Automatic,"4 cyl, 2.2 L",Front,Diesel,7.7 L / 100 km,42680,"Blacktown, NSW",4 cyl,Wagon, 4 Doors, 8 Seats,43530
Holden,Barina,Hatchback,2012 Holden Barina CD,USED,Automatic,"4 cyl, 1.6 L",Front,Unleaded,6.7 L / 100 km,144076,"Minchinbury, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,11995
Ford,Ecosport,SUV,2017 Ford Ecosport Trend,USED,Automatic,"4 cyl, 1.5 L",Front,Premium,6.5 L / 100 km,32401,"West Gosford, NSW",4 cyl,SUV, 4 Doors, 5 Seats,17888
Mazda,BT-50,Ute / Tray,2016 Mazda BT-50 XT (4X4),USED,Manual,"5 cyl, 3.2 L",4WD,Diesel,8.9 L / 100 km,68577,"Wollongong, NSW",5 cyl,Ute / Tray, 4 Doors, 4 Seats,40990
Kia,Carnival,Wagon,2018 Kia Carnival S,USED,Automatic,"6 cyl, 3.3 L",Front,Unleaded,11.6 L / 100 km,57553,"Singleton, NSW",6 cyl,Wagon, 4 Doors, 8 Seats,38888
Kia,RIO,Hatchback,2008 Kia RIO EX,USED,Manual,"4 cyl, 1.6 L",Front,Unleaded,6.9 L / 100 km,255250,"Kellyville, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,2999
Toyota,RAV4,SUV,2019 Toyota RAV4 GXL (2WD),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.5 L / 100 km,57902,"Pennant Hills, NSW",4 cyl,SUV, 5 Doors, 5 Seats,39999
Volkswagen,Tiguan,SUV,2019 Volkswagen Tiguan 132 TSI R-Line Edition,USED,Automatic,"4 cyl, 2 L",AWD,Premium,7.5 L / 100 km,149098,"Yallah, NSW",4 cyl,SUV, 4 Doors, 5 Seats,28950
Toyota,Corolla,Hatchback,2017 Toyota Corolla Hybrid,USED,Automatic,"4 cyl, 1.8 L",Front,Hybrid,4.1 L / 100 km,65903,"Melrose Park, SA",4 cyl,Hatchback, 5 Doors, 5 Seats,26980
Nissan,Navara,Ute / Tray,2016 Nissan Navara RX (4X4),USED,Manual,"4 cyl, 2.3 L",4WD,Diesel,6.6 L / 100 km,83161,"Singleton, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,29990
Ford,Mondeo,Wagon,2016 Ford Mondeo Titanium Tdci,USED,Automatic,"4 cyl, 2 L",Front,Diesel,5.3 L / 100 km,88969,"Haberfield, NSW",4 cyl,Wagon, 4 Doors, 5 Seats,22890
Mini,Cooper,Hatchback,2016 Mini Cooper JCW,USED,Automatic,"4 cyl, 2 L",Other,Premium,5.8 L / 100 km,58420,"Waterloo, NSW",4 cyl,Hatchback, 2 Doors, 4 Seats,35900
Mazda,6,Hatchback,2008 Mazda 6 Classic,USED,Manual,"4 cyl, 2.5 L",Front,Premium,8.6 L / 100 km,162895,"Campbelltown, NSW",4 cyl,Hatchback, 5 Doors, 5 Seats,10950
Toyota,Landcruiser,SUV,2007 Toyota Landcruiser GXL (4X4),USED,Automatic,"8 cyl, 4.7 L",4WD,Unleaded,16.4 L / 100 km,350465,"Dapto, NSW",8 cyl,SUV, 4 Doors, 8 Seats,29999
Mercedes-Benz,X250,Ute / Tray,2018 Mercedes-Benz X250 D Power (4Matic),USED,Automatic,"4 cyl, 2.3 L",4WD,Diesel,7.9 L / 100 km,64123,"Taree, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,47990
Nissan,Navara,Ute / Tray,2018 Nissan Navara ST (4X2),USED,Automatic,"4 cyl, 2.3 L",Front,Diesel,6.8 L / 100 km,135419,"Melrose Park, SA",4 cyl,Ute / Tray, 4 Doors, 5 Seats,29990
Mazda,MX-5,Convertible,2017 Mazda MX-5 Roadster GT,USED,Manual,"4 cyl, 2 L",Rear,Premium,6.9 L / 100 km,31214,"Wollongong, NSW",4 cyl,Convertible, 2 Doors, 2 Seats,39990
Toyota,Hilux,Ute / Tray,2021 Toyota Hilux Rogue (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.4 L / 100 km,60752,"Albion Park, NSW",4 cyl,Ute / Tray, 4 Doors, 5 Seats,68990
Isuzu,D-MAX,Ute / Tray,2017 Isuzu D-MAX SX HI-Ride (4X2),USED,Automatic,"4 cyl, 3 L",Rear,Diesel,7.5 L / 100 km,199879,"Minchinbury, NSW",4 cyl,Ute / Tray, 2 Doors, 2 Seats,19800
Jeep,Wrangler,SUV,2015 Jeep Wrangler Unlimited Renegade Sport (4X4),USED,Automatic,"6 cyl, 3.6 L",4WD,Unleaded,11.7 L / 100 km,152274,"Granville, NSW",6 cyl,SUV, 4 Doors, 5 Seats,36950
Toyota,Camry,Sedan,2019 Toyota Camry Ascent (hybrid),USED,Automatic,"4 cyl, 2.5 L",Front,Hybrid,4.2 L / 100 km,9609,"Upper Ferntree Gully, VIC",4 cyl,Sedan, 4 Doors, 5 Seats,41000
Ford,Falcon,Sedan,2012 Ford Falcon G6 Ecoboost,USED,Automatic,"4 cyl, 2 L",Rear,Unleaded,8.5 L / 100 km,134455,"Cheltenham, SA",4 cyl,Sedan, 4 Doors, 5 Seats,14990
Toyota,RAV4,SUV,2018 Toyota RAV4 GXL (4X4),USED,Automatic,"4 cyl, 2.5 L",AWD,Unleaded,8.5 L / 100 km,125307,"Boolaroo, NSW",4 cyl,SUV, 4 Doors, 5 Seats,29800
MG,ZST,Southern Classic Cars - New & Demo,2022 MG ZST Excite,NEW,Automatic,"3 cyl, 1.3 L",Front,Unleaded,7.3 L / 100 km,30,"Wollongong, NSW",3 cyl,SUV, 5 Doors, 5 Seats,31690
Hyundai,Iload,Commercial,2016 Hyundai Iload,USED,Automatic,"4 cyl, 2.5 L",Rear,Diesel,8.8 L / 100 km,180816,"Lidcombe, NSW",4 cyl,Commercial, 4 Doors, 3 Seats,22995
Ford,Mustang,Coupe,2017 Ford Mustang Fastback GT 5.0 V8,USED,Automatic,"8 cyl, 5 L",Rear,Premium,12.6 L / 100 km,67461,"Albion Park Rail, NSW",8 cyl,Coupe, 2 Doors, 4 Seats,54990
Toyota,Mark,Prime Wheels.,2007 Toyota Mark X,USED,Automatic,-,Other,Unleaded,-,120138,"Pakenham, VIC",-,Wagon,,,14888
Nissan,Murano,SUV,2010 Nissan Murano TI,USED,Automatic,"6 cyl, 3.5 L",4WD,Unleaded,10.9 L / 100 km,143052,"Townsville, QLD",6 cyl,SUV, 4 Doors, 5 Seats,15888
Holden,Trailblazer,SUV,2018 Holden Trailblazer LT (4X4),USED,Automatic,"4 cyl, 2.8 L",4WD,Diesel,8.6 L / 100 km,165614,"Revesby, NSW",4 cyl,SUV, 4 Doors, 7 Seats,29990
Toyota,Landcruiser,SUV,2019 Toyota Landcruiser LC200 VX (4X4),USED,Automatic,"8 cyl, 4.5 L",4WD,Diesel,9.5 L / 100 km,104589,"Albion Park Rail, NSW",8 cyl,SUV, 4 Doors, 7 Seats,103990
Nissan,Qashqai,SUV,2015 Nissan Qashqai ST (4X2),USED,Automatic,"4 cyl, 2 L",Front,Unleaded,6.9 L / 100 km,92834,"Wollongong, NSW",4 cyl,SUV, 4 Doors, 5 Seats,20390
Hyundai,Getz,Hatchback,2005 Hyundai Getz FX,USED,Automatic,"4 cyl, 1.5 L",Front,Unleaded,7.8 L / 100 km,132595,"Minto, NSW",4 cyl,Hatchback, 3 Doors, 5 Seats,4500
