FullName,Winery,WineName,Region,RegionalVariety,VintageRating,VintageRatingCount,WineRating,WineRatingCount,WinePrice
Domaine Bernard Moreau et Fils Chassagne-Montrachet 1er Cru Champsgain 2013,Domaine Bernard Moreau et Fils,Chassagne-Montrachet 1er Cru Champsgain,Burgundy,Côte de Beaune White,4.4,28,4.3,252,63
Domaine Zind Humbrecht Pinot Gris Alsace Grand Cru Rangen de Thann Clos Saint Urbain 2005,Domaine Zind Humbrecht,Pinot Gris Alsace Grand Cru Rangen de Thann Clos Saint Urbain,Alsace,Pinot Gris,4.4,28,4.3,602,76.67
Chacra Chardonnay 2017,Chacra,Chardonnay,Argentinian,Chardonnay,4.4,28,4.2,70,64
TOR Durell Vineyard Chardonnay 2014,TOR,Durell Vineyard Chardonnay,Californian,Chardonnay,4.4,28,4.2,107,80.2
Louis Jadot Meursault 1er Cru 'Genevrières' 2015,Louis Jadot,Meursault 1er Cru 'Genevrières',Burgundy,Côte de Beaune White,4.4,27,4,332,66.37
Domaine de l'Arlot Nuits-Saint-Georges Premier Cru Clos de L'Arlot Blanc 2015,Domaine de l'Arlot,Nuits-Saint-Georges Premier Cru Clos de L'Arlot Blanc,Burgundy,White,4.4,27,4.1,530,66.28
Black Elephant Vintners The Dark Side of the Vine Sémillon 2015,Black Elephant Vintners,The Dark Side of the Vine Sémillon,,,4.4,27,4.4,43,55
Francois Carillon Puligny-Montrachet 1er Cru 'Les Combettes' 2016,Francois Carillon,Puligny-Montrachet 1er Cru 'Les Combettes',Burgundy,Côte de Beaune White,4.4,27,4.3,278,79.82
Dönnhoff Oberhäuser Brücke Riesling Auslese 2006,Dönnhoff,Oberhäuser Brücke Riesling Auslese,German,Riesling,4.4,26,4.2,458,189.72
Henri Germain & Fils Meursault 1er Cru 'Charmes' 2012,Henri Germain & Fils,Meursault 1er Cru 'Charmes',Burgundy,Côte de Beaune White,4.4,26,4.2,289,90.74
Albert Grivault Meursault 1er Cru 'Perrières' 2015,Albert Grivault,Meursault 1er Cru 'Perrières',Burgundy,Côte de Beaune White,4.4,25,4.2,273,93.33
Pierre-Yves Colin-Morey Saint-Aubin Premier Cru En Remilly 2016,Pierre-Yves Colin-Morey,Saint-Aubin Premier Cru En Remilly,Burgundy,Côte de Beaune White,4.4,25,4.2,656,82.98
Pujanza Rioja Añadas Frías 2016,Pujanza,Rioja Añadas Frías,Spanish,Rioja White,4.4,25,4.3,89,65.95
Bruno Colin Chassagne-Montrachet Premier Cru 'Les Vergers' 2009,Bruno Colin,Chassagne-Montrachet Premier Cru 'Les Vergers',Burgundy,Côte de Beaune White,4.4,25,4.2,170,51.2
Belondrade Belondrade y Lurton 2016,Belondrade,Belondrade y Lurton,Spanish,Verdejo,4.3,1243,4.3,7965,27.85
Gaja Rossj-Bass Langhe 2016,Gaja,Rossj-Bass Langhe,Northern Italy,White,4.3,903,4.2,5825,69.5
Gaja Rossj-Bass Langhe 2015,Gaja,Rossj-Bass Langhe,Northern Italy,White,4.3,707,4.2,5825,99
Gaja Rossj-Bass Langhe 2011,Gaja,Rossj-Bass Langhe,Northern Italy,White,4.3,581,4.2,5825,51.17
Livio Felluga Terre Alte 2015,Livio Felluga,Terre Alte,Northern Italy,White,4.3,511,4.3,3242,65.08
Joh. Jos. Prüm Wehlener Sonnenuhr Riesling Auslese 2007,Joh. Jos. Prüm,Wehlener Sonnenuhr Riesling Auslese,German,Riesling,4.3,362,4.4,2898,57.99
Catena Zapata Adrianna Vineyard White Bones Chardonnay 2012,Catena Zapata,Adrianna Vineyard White Bones Chardonnay,Argentinian,Chardonnay,4.3,355,4.3,2039,57.97
Nicolas Joly Clos de la Coulée de Serrant 2014,Nicolas Joly,Clos de la Coulée de Serrant,Loire,Chenin Blanc,4.3,352,4.3,4998,76.96
Ridge Vineyards Monte Bello Chardonnay 2013,Ridge Vineyards,Monte Bello Chardonnay,Californian,Chardonnay,4.3,336,4.3,1281,79.95
Quintodecimo Giallo d'Arles Greco di Tufo 2016,Quintodecimo,Giallo d'Arles Greco di Tufo,Southern Italy,White,4.3,328,4.3,1749,41.965
Domaine du Vieux Télégraphe Châteauneuf-du-Pape (La Crau) Blanc 2011,Domaine du Vieux Télégraphe,Châteauneuf-du-Pape (La Crau) Blanc,Southern Rhône,White,4.3,316,4.2,2402,52
Gravner Ribolla Gialla 2009,Gravner,Ribolla Gialla,Northern Italy,White,4.3,305,4.3,1637,64.99
Daniel-Etienne Defaix Chablis Premier Cru 'Les Lys' 2002,Daniel-Etienne Defaix,Chablis Premier Cru 'Les Lys',Burgundy,Chablis,4.3,295,4.2,1094,39.165
Nicolas Joly Clos de la Coulée de Serrant 2009,Nicolas Joly,Clos de la Coulée de Serrant,Loire,Chenin Blanc,4.3,290,4.3,4998,58.81
Abadia Retuerta Le Domaine Blanco de Guarda 2016,Abadia Retuerta,Le Domaine Blanco de Guarda,,,4.3,281,4.2,1424,29.365
Domaine Long Depaquit Chablis Grand Cru 'Moutonne' (Monopole) 2015,Domaine Long Depaquit,Chablis Grand Cru 'Moutonne' (Monopole),Burgundy,Chablis,4.3,264,4.3,1476,96.67
Nicolas Joly Clos de la Coulée de Serrant 2012,Nicolas Joly,Clos de la Coulée de Serrant,Loire,Chenin Blanc,4.3,245,4.3,4998,57.97
Ca' del Bosco Chardonnay 2014,Ca' del Bosco,Chardonnay,Northern Italy,White,4.3,245,4.2,1740,69.95
Domaine Georges Vernay Les Terrasses de L'Empire Condrieu 2015,Domaine Georges Vernay,Les Terrasses de L'Empire Condrieu,Northern Rhône,Condrieu,4.3,232,4.2,1606,63.45
Domaine du Vieux Télégraphe Châteauneuf-du-Pape (La Crau) Blanc 2010,Domaine du Vieux Télégraphe,Châteauneuf-du-Pape (La Crau) Blanc,Southern Rhône,White,4.3,228,4.2,2402,51.99
Kistler Chardonnay 2014,Kistler,Chardonnay,Californian,Chardonnay,4.3,225,4.3,1117,90
Château Smith Haut-Lafitte Pessac-Léognan Blanc 2011,Château Smith Haut-Lafitte,Pessac-Léognan Blanc,Bordeaux,White,4.3,219,4.3,2286,91.03
E. Guigal Condrieu La Doriane 2017,E. Guigal,Condrieu La Doriane,Northern Rhône,Condrieu,4.3,212,4.2,2657,55.37
Domaine Leflaive Puligny-Montrachet 2012,Domaine Leflaive,Puligny-Montrachet,Burgundy,Côte de Beaune White,4.3,199,4.3,3758,100
Anselmo Mendes Parcela Única Escolha 2012,Anselmo Mendes,Parcela Única Escolha,Portuguese,Vinho Verde White,4.3,195,4.3,1406,89.8
Domaine de la Vougeraie Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole) 2011,Domaine de la Vougeraie,Vougeot 1er Cru 'Le Clos Blanc de Vougeot' (Monopole),Burgundy,White,4.3,189,4.4,1609,89
Bouchard Père & Fils Meursault 1er Cru 'Perrières' Blanc 2011,Bouchard Père & Fils,Meursault 1er Cru 'Perrières' Blanc,Burgundy,Côte de Beaune White,4.3,187,4.2,727,57.5
Domaine Laroche Chablis Grand Cru Les Blanchots Reserve de l'Obédience 2009,Domaine Laroche,Chablis Grand Cru Les Blanchots Reserve de l'Obédience,Burgundy,Chablis,4.3,182,4.3,1447,79.81
Schloss Johannisberg Silberlack Riesling Trocken GG 2014,Schloss Johannisberg,Silberlack Riesling Trocken GG,German,Riesling,4.3,176,4.2,1610,57.22
Marcel Deiss Riesling Alsace Grand Cru 'Altenberg de Bergheim' 2007,Marcel Deiss,Riesling Alsace Grand Cru 'Altenberg de Bergheim',Alsace,Riesling,4.3,172,4.4,1417,85.7
Kistler Les Noisetiers 2017,Kistler,Les Noisetiers,,,4.3,168,4.3,3848,92.71
